,abr_cd,abr_cdi,abr_nm,abr_c,abr_z,cd,ds,url
129,06130,1600279,LARANJAL DO JARI,N,['0007'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06130-c0001-e000544-v.json
130,06050,1600303,MACAPÁ,S,"['0002', '0010']",ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06050-c0001-e000544-v.json
131,06076,1600402,MAZAGÃO,N,['0005'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06076-c0001-e000544-v.json
132,06092,1600501,OIAPOQUE,N,['0004'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06092-c0001-e000544-v.json
133,06084,1600154,PEDRA BRANCA DO AMAPARI,N,['0011'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06084-c0001-e000544-v.json
134,06025,1600535,PORTO GRANDE,N,['0012'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06025-c0001-e000544-v.json
135,06009,1600550,PRACUÚBA,N,['0001'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06009-c0001-e000544-v.json
136,06157,1600600,SANTANA,N,['0006'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06157-c0001-e000544-v.json
137,06106,1600055,SERRA DO NAVIO,N,['0011'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06106-c0001-e000544-v.json
138,06173,1600709,TARTARUGALZINHO,N,['0008'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06173-c0001-e000544-v.json
139,06122,1600808,VITÓRIA DO JARI,N,['0007'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06122-c0001-e000544-v.json
140,02895,1300029,ALVARÃES,N,['0060'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02895-c0001-e000544-v.json
141,02917,1300060,AMATURÁ,N,['0022'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02917-c0001-e000544-v.json
142,02933,1300086,ANAMÃ,N,['0006'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02933-c0001-e000544-v.json
143,02038,1300102,ANORI,N,['0033'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02038-c0001-e000544-v.json
144,02003,1300144,APUÍ,N,['0067'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02003-c0001-e000544-v.json
145,02054,1300201,ATALAIA DO NORTE,N,['0042'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02054-c0001-e000544-v.json
146,02070,1300300,AUTAZES,N,['0035'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02070-c0001-e000544-v.json
147,02097,1300409,BARCELOS,N,['0018'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02097-c0001-e000544-v.json
148,02119,1300508,BARREIRINHA,N,['0026'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02119-c0001-e000544-v.json
149,02135,1300607,BENJAMIN CONSTANT,N,['0020'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02135-c0001-e000544-v.json
150,02950,1300631,BERURI,N,['0054'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02950-c0001-e000544-v.json
151,02976,1300680,BOA VISTA DO RAMOS,N,['0005'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02976-c0001-e000544-v.json
152,02151,1300706,BOCA DO ACRE,N,['0014'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02151-c0001-e000544-v.json
153,02178,1300805,BORBA,N,['0015'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02178-c0001-e000544-v.json
154,02992,1300839,CAAPIRANGA,N,['0006'],am,AMAZONAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/am/am02992-c0001-e000544-v.json
